,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
14800,-3.0396598110480402e-06,7.0008856820476346e-12,results\2018-01-31T09-49-48.txt,0.016739418001292455,3.691528742227821e-35,1.0,0.0,0.3309402704296412,1.3174239858239537e-31,0.4916666666666666,1.845764329326994e-35
15000,-3.0396598110480402e-06,7.0008856820476346e-12,results\2018-01-31T09-49-48.txt,0.033489656005853866,3.911128638588221e-36,1.0,3.1415926535897927,3.540313884393657,3.487231176984745e-33,0.05,1.9555643494666327e-36
15200,-3.0396598110480402e-06,8.401062818457161e-12,results\2018-01-31T13-31-01.txt,0.03604493950698324,1.2013110364109343e-34,-1.0,0.0,1.8383556730168318,9.246276098517407e-32,0.6151666666666666,6.006555165585091e-35
15400,-3.0396598110480402e-06,8.401062818457161e-12,results\2018-01-31T13-31-01.txt,0.06247056617334287,1.0482020434114637e-35,-1.0,3.1415926535897927,3.5772907695919502,2.685926557807409e-33,0.085,5.241010196025992e-36
15600,-3.0396598110480402e-06,8.401062818457161e-12,results\2018-01-31T13-31-01.txt,0.03604493950698324,1.2013110364109343e-34,1.0,0.0,1.8383556730168318,9.246276098517407e-32,0.6151666666666666,6.006555165585091e-35
15800,-3.0396598110480402e-06,8.401062818457161e-12,results\2018-01-31T13-31-01.txt,0.06247056617334287,1.0482020434114637e-35,1.0,3.1415926535897927,3.5772907695919502,2.685926557807409e-33,0.085,5.241010196025992e-36
16000,-3.0396598110480402e-06,1.1201417091276217e-11,results\2018-01-31T16-42-41.txt,0.03862229746792164,1.2075678958593668e-34,-1.0,0.0,2.546817277333254,8.095344469637837e-32,0.6183333333333333,6.037839278491794e-35
16200,-3.0396598110480402e-06,1.1201417091276217e-11,results\2018-01-31T16-42-41.txt,0.007499177555515223,1.6604725167837587e-37,-1.0,3.1415926535897927,4.639085534625953,2.952598690255801e-33,0.0075,8.302362523113138e-38
16400,-3.0396598110480402e-06,1.1201417091276217e-11,results\2018-01-31T16-42-41.txt,0.03862229746792164,1.2075678958593668e-34,1.0,0.0,2.546817277333254,8.095344469637837e-32,0.6183333333333333,6.037839278491794e-35
16600,-3.0396598110480402e-06,1.1201417091276217e-11,results\2018-01-31T16-42-41.txt,0.007499177555515223,1.6604725167837587e-37,1.0,3.1415926535897927,4.639085534625953,2.952598690255801e-33,0.0075,8.302362523113138e-38
